"NAME","med_incomeE","moe_pct","total_popE","reliability","algo_recommendation"
"Alameda ",122488,1.00499640781138,1663823,"High Confidence","Safe for algorithmic decisions"
"Alpine ",101125,17.2479604449938,1515,"Low Confidence","Requires manual review or additional data"
"Amador ",74853,8.07983647949982,40577,"Moderate Confidence","Use with caution - monitor outcomes"
"Butte ",66085,3.4213512900053,213605,"High Confidence","Safe for algorithmic decisions"
"Calaveras ",77526,4.99832314320357,45674,"High Confidence","Safe for algorithmic decisions"
"Colusa ",69619,8.25205762794639,21811,"Moderate Confidence","Use with caution - monitor outcomes"
"Contra Costa ",120020,1.24645892351275,1162648,"High Confidence","Safe for algorithmic decisions"
"Del Norte ",61149,7.1562903726962,27462,"Moderate Confidence","Use with caution - monitor outcomes"
"El Dorado ",99246,3.35529895411402,191713,"High Confidence","Safe for algorithmic decisions"
"Fresno ",67756,1.42717988074857,1008280,"High Confidence","Safe for algorithmic decisions"
"Glenn ",64033,6.18899629878344,28657,"Moderate Confidence","Use with caution - monitor outcomes"
"Humboldt ",57881,3.68169174685994,136132,"High Confidence","Safe for algorithmic decisions"
"Imperial ",53847,4.11164967407655,179578,"High Confidence","Safe for algorithmic decisions"
"Inyo ",63417,8.59864074301843,18829,"Moderate Confidence","Use with caution - monitor outcomes"
"Kern ",63883,2.07410422178044,906883,"High Confidence","Safe for algorithmic decisions"
"Kings ",68540,3.28713160198424,152515,"High Confidence","Safe for algorithmic decisions"
"Lake ",56259,4.33530635098384,68024,"High Confidence","Safe for algorithmic decisions"
"Lassen ",59515,5.9665630513316,31873,"Moderate Confidence","Use with caution - monitor outcomes"
"Los Angeles ",83411,0.526309479565045,9936690,"High Confidence","Safe for algorithmic decisions"
"Madera ",73543,3.86712535523435,157243,"High Confidence","Safe for algorithmic decisions"
"Marin ",142019,2.88552940099564,260485,"High Confidence","Safe for algorithmic decisions"
"Mariposa ",60021,8.8185801636094,17130,"Moderate Confidence","Use with caution - monitor outcomes"
"Mendocino ",61335,3.58359827178609,91145,"High Confidence","Safe for algorithmic decisions"
"Merced ",64772,3.30698449947508,282290,"High Confidence","Safe for algorithmic decisions"
"Modoc ",54962,9.80495615152287,8651,"Moderate Confidence","Use with caution - monitor outcomes"
"Mono ",82038,18.7571613154879,13219,"Low Confidence","Requires manual review or additional data"
"Monterey ",91043,2.08692595806377,437609,"High Confidence","Safe for algorithmic decisions"
"Napa ",105809,2.81734067990436,137384,"High Confidence","Safe for algorithmic decisions"
"Nevada ",79395,4.81516468291454,102322,"High Confidence","Safe for algorithmic decisions"
"Orange ",109361,0.806503232413749,3175227,"High Confidence","Safe for algorithmic decisions"
"Placer ",109375,1.69691428571429,406608,"High Confidence","Safe for algorithmic decisions"
"Plumas ",67885,11.448773661339,19650,"Low Confidence","Requires manual review or additional data"
"Riverside ",84505,1.25554700905272,2429487,"High Confidence","Safe for algorithmic decisions"
"Sacramento ",84010,0.971312938935841,1579211,"High Confidence","Safe for algorithmic decisions"
"San Benito ",104451,5.22828886272032,64753,"Moderate Confidence","Use with caution - monitor outcomes"
"San Bernardino ",77423,1.04103431796753,2180563,"High Confidence","Safe for algorithmic decisions"
"San Diego ",96974,1.02398581062965,3289701,"High Confidence","Safe for algorithmic decisions"
"San Francisco ",136689,1.42952249266583,851036,"High Confidence","Safe for algorithmic decisions"
"San Joaquin ",82837,1.74801115443582,779445,"High Confidence","Safe for algorithmic decisions"
"San Luis Obispo ",90158,2.56327780119346,281712,"High Confidence","Safe for algorithmic decisions"
"San Mateo ",149907,1.74841735209163,754250,"High Confidence","Safe for algorithmic decisions"
"Santa Barbara ",92332,2.04587791881471,445213,"High Confidence","Safe for algorithmic decisions"
"Santa Clara ",153792,1.00460362047441,1916831,"High Confidence","Safe for algorithmic decisions"
"Santa Cruz ",104409,3.0390100470266,268571,"High Confidence","Safe for algorithmic decisions"
"Shasta ",68347,3.62854258416609,181852,"High Confidence","Safe for algorithmic decisions"
"Sierra ",61108,15.1158604438044,2916,"Low Confidence","Requires manual review or additional data"
"Siskiyou ",53898,4.89814093287321,44049,"High Confidence","Safe for algorithmic decisions"
"Solano ",97037,1.77664189948164,450995,"High Confidence","Safe for algorithmic decisions"
"Sonoma ",99266,2.00269981665424,488436,"High Confidence","Safe for algorithmic decisions"
"Stanislaus ",74872,1.83112512020515,552063,"High Confidence","Safe for algorithmic decisions"
"Sutter ",72654,4.71412448041402,99101,"High Confidence","Safe for algorithmic decisions"
"Tehama ",59029,6.95082078300496,65484,"Moderate Confidence","Use with caution - monitor outcomes"
"Trinity ",47317,12.4479573937485,15889,"Low Confidence","Requires manual review or additional data"
"Tulare ",64474,2.30945807612371,473446,"High Confidence","Safe for algorithmic decisions"
"Tuolumne ",70432,6.66032485233985,54993,"Moderate Confidence","Use with caution - monitor outcomes"
"Ventura ",102141,1.49597125542143,842009,"High Confidence","Safe for algorithmic decisions"
"Yolo ",85097,2.74157725889279,217141,"High Confidence","Safe for algorithmic decisions"
"Yuba ",66693,4.19234402411048,81705,"High Confidence","Safe for algorithmic decisions"
